entry_id,cluster,state_label,original_text
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
19,3,Induction & Reframing (유도 및 재구조화),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
20,7,Observational Acuity (관찰력 및 통찰),"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
20,7,Observational Acuity (관찰력 및 통찰),"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
20,7,Observational Acuity (관찰력 및 통찰),"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
20,7,Observational Acuity (관찰력 및 통찰),"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
20,7,Observational Acuity (관찰력 및 통찰),"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
20,7,Observational Acuity (관찰력 및 통찰),"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
21,6,Resistance Utilization (저항의 활용),For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
21,6,Resistance Utilization (저항의 활용),For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
21,6,Resistance Utilization (저항의 활용),For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
21,6,Resistance Utilization (저항의 활용),For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
21,6,Resistance Utilization (저항의 활용),For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
21,6,Resistance Utilization (저항의 활용),For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
22,7,Observational Acuity (관찰력 및 통찰),Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? And can you walk in a straight line at a steady pace?
22,7,Observational Acuity (관찰력 및 통찰),Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? And can you walk in a straight line at a steady pace?
22,7,Observational Acuity (관찰력 및 통찰),Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? And can you walk in a straight line at a steady pace?
23,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),How would you walk down the street naturally... in a hurry?
24,0,Presupposition & Pacing (전제 및 페이싱),And how straight a line would you walk?
25,6,Resistance Utilization (저항의 활용),And where would you stop and where would you pause?
25,6,Resistance Utilization (저항의 활용),And where would you stop and where would you pause?
26,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
26,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
26,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
26,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
27,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),Not until you got to the curb?
30,0,Presupposition & Pacing (전제 및 페이싱),Look around where?
31,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),"Now, how would you walk down the street?"
32,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),How would you walk down the street naturally... in a hurry?
33,0,Presupposition & Pacing (전제 및 페이싱),And how straight a line would you walk?
34,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),"Now, how would you walk down the street?"
35,6,Resistance Utilization (저항의 활용),And where would you stop and where would you pause?
35,6,Resistance Utilization (저항의 활용),And where would you stop and where would you pause?
36,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),How would you walk down the street naturally... in a hurry?
37,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
37,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
37,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
37,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
38,0,Presupposition & Pacing (전제 및 페이싱),And how straight a line would you walk?
39,6,Resistance Utilization (저항의 활용),And where would you stop and where would you pause?
39,6,Resistance Utilization (저항의 활용),And where would you stop and where would you pause?
40,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
40,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
40,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
40,6,Resistance Utilization (저항의 활용),Now that’s what I call an evasive answer. Where would you pause and where would you stop?
41,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),Not until you got to the curb?
43,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),"Well, suppose instead of a stoplight, there is just a stop sign, and suppose there is no sign?"
43,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),"Well, suppose instead of a stoplight, there is just a stop sign, and suppose there is no sign?"
44,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),I said there is no traffic of any kind.
44,10,Post-Hypnotic Reframing (사후 최면 및 재구조화),I said there is no traffic of any kind.
45,3,Induction & Reframing (유도 및 재구조화),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
45,3,Induction & Reframing (유도 및 재구조화),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
45,3,Induction & Reframing (유도 및 재구조화),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
45,3,Induction & Reframing (유도 및 재구조화),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
45,3,Induction & Reframing (유도 및 재구조화),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
45,3,Induction & Reframing (유도 및 재구조화),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
45,3,Induction & Reframing (유도 및 재구조화),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
45,3,Induction & Reframing (유도 및 재구조화),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
45,3,Induction & Reframing (유도 및 재구조화),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
46,0,Presupposition & Pacing (전제 및 페이싱),After you reach the curb.
47,0,Presupposition & Pacing (전제 및 페이싱),Look around where?
48,0,Presupposition & Pacing (전제 및 페이싱),I said there was no traffic.
48,0,Presupposition & Pacing (전제 및 페이싱),I said there was no traffic.
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
49,3,Induction & Reframing (유도 및 재구조화),"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
50,7,Observational Acuity (관찰력 및 통찰),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
51,3,Induction & Reframing (유도 및 재구조화),"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?"
51,3,Induction & Reframing (유도 및 재구조화),"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?"
51,3,Induction & Reframing (유도 및 재구조화),"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?"
51,3,Induction & Reframing (유도 및 재구조화),"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?"
52,6,Resistance Utilization (저항의 활용),You didn’t even know what “stand up” meant. How did you learn to stand up?
52,6,Resistance Utilization (저항의 활용),You didn’t even know what “stand up” meant. How did you learn to stand up?
53,1,Strategic Orientation & Ordeal (전략적 오리엔테이션 및 오딜),"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
53,1,Strategic Orientation & Ordeal (전략적 오리엔테이션 및 오딜),"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
53,1,Strategic Orientation & Ordeal (전략적 오리엔테이션 및 오딜),"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
53,1,Strategic Orientation & Ordeal (전략적 오리엔테이션 및 오딜),"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
53,1,Strategic Orientation & Ordeal (전략적 오리엔테이션 및 오딜),"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
53,1,Strategic Orientation & Ordeal (전략적 오리엔테이션 및 오딜),"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
