Current,Next,Count,Total_Out,Probability
ERICKSON_AGE_REGRESSION,ERICKSON_UTILIZATION_SELF_DISCLOSURE,1,6,0.16666666666666666
ERICKSON_AGE_REGRESSION_ANCHOR,ERICKSON_HYPOPHORA_OBSERVATION,1,3,0.3333333333333333
ERICKSON_AGE_REGRESSION_ANCHOR,ERICKSON_PATTERN_INTERRUPT,1,3,0.3333333333333333
ERICKSON_AGE_REGRESSION_ANCHOR,ERICKSON_SENSORY_FOCUS,1,3,0.3333333333333333
ERICKSON_AGE_REGRESSION_ANCHORING,ERICKSON_DIRECT_ATTENTION,1,1,1.0
ERICKSON_AGE_REGRESSION_AND_FUTURE_PACING,ERICKSON_YES_SET,1,1,1.0
ERICKSON_AGE_REGRESSION_DISORIENTATION,ERICKSON_DISSOCIATIVE_AWAKENING,1,1,1.0
ERICKSON_AGE_REGRESSION_DISSOCIATION,ERICKSON_AGE_PROGRESSION_ANCHORING,1,3,0.3333333333333333
ERICKSON_AGE_REGRESSION_DISSOCIATION,ERICKSON_METAPHOR_EFFORTLESSNESS,1,3,0.3333333333333333
ERICKSON_AGE_REGRESSION_DISSOCIATION,ERICKSON_TRUISM_PACING,1,3,0.3333333333333333
ERICKSON_AGE_REGRESSION_DISTRACTION,ERICKSON_ASSOCIATIVE_LINKING,1,1,1.0
ERICKSON_AGE_REGRESSION_HALLUCINATION,ERICKSON_UTILIZATION_OF_MULTILEVEL_REALITY,1,1,1.0
ERICKSON_AGE_REGRESSION_INDUCTION,ERICKSON_TRUISM_PACING,1,1,1.0
ERICKSON_AGE_REGRESSION_INQUIRY,ERICKSON_AMNESIA_INTEGRATION,1,2,0.5
ERICKSON_AGE_REGRESSION_INQUIRY,ERICKSON_EARLY_LEARNING_REVIVIFICATION,1,2,0.5
ERICKSON_AGE_REGRESSION_LINGUISTICS,ERICKSON_SYMBOLIC_INTERPRETATION,1,1,1.0
ERICKSON_AGE_REGRESSION_METAPHOR,ERICKSON_STRATEGIC_INTERVENTION,1,2,0.5
ERICKSON_AGE_REGRESSION_METAPHOR,ERICKSON_UTILIZATION_RAPPORT,1,2,0.5
ERICKSON_AGE_REGRESSION_REFRAME,ERICKSON_AGE_REGRESSION_REFRAMING,1,1,1.0
ERICKSON_AGE_REGRESSION_REFRAMING,ERICKSON_CRITIQUE_SPECIFICITY,1,1,1.0
ERICKSON_AGE_REGRESSION_REINFORCEMENT,ERICKSON_COGNITIVE_OCCUPATION,1,1,1.0
ERICKSON_AGE_REGRESSION_RESOURCE,ERICKSON_TRUISM,1,1,1.0
ERICKSON_AGE_REGRESSION_REVIVIFICATION,ERICKSON_AGE_REGRESSION_DISORIENTATION,1,1,1.0
ERICKSON_AGE_REGRESSION_SPATIAL_ANCHORING,ERICKSON_PACING_LEADING_DISSOCIATION,1,1,1.0
ERICKSON_AGE_REGRESSION_SPATIAL_UTILIZATION,ERICKSON_PACING_LEADING,1,1,1.0
ERICKSON_AGE_REGRESSION_TRANCE_DEEPENING,ERICKSON_PACING_TRUISM,1,1,1.0
ERICKSON_AGE_REGRESSION_TRUISM,ERICKSON_DISSOCIATION_CONTRAST,1,3,0.3333333333333333
ERICKSON_AGE_REGRESSION_TRUISM,ERICKSON_INDIRECT_SUGGESTION_EMPOWERMENT,1,3,0.3333333333333333
ERICKSON_AGE_REGRESSION_TRUISM,ERICKSON_UTILIZATION_CHALLENGE,1,3,0.3333333333333333
ERICKSON_AGE_REGRESSION_UTILIZATION,ERICKSON_INTERIOR_SEARCH,1,2,0.5
ERICKSON_AGE_REGRESSION_UTILIZATION,ERICKSON_THEORETICAL_REFUTATION,1,2,0.5
ERICKSON_AGREEMENT_FRAME,ERICKSON_UTILIZATION_REFRAMING,1,1,1.0
ERICKSON_ALLIANCE_AND_REDIRECTION,ERICKSON_ALLIANCE_PRESUPPOSITION,1,1,1.0
ERICKSON_ALLIANCE_PRESUPPOSITION,ERICKSON_INDIRECT_SUGGESTION,1,1,1.0
ERICKSON_AMBIGUITY_AND_PERMISSIVENESS,ERICKSON_PROCESS_SUGGESTION,1,1,1.0
ERICKSON_AMBIGUITY_AND_RAPPORT,ERICKSON_AWARENESS_TEST,1,1,1.0
ERICKSON_AMBIGUITY_CHALLENGE,ERICKSON_DIRECT_INSTRUCTION,1,1,1.0
ERICKSON_AMBIGUITY_CONTROL,ERICKSON_PACING_AND_VALIDATION,1,1,1.0
ERICKSON_AMBIGUITY_DISSOCIATION,ERICKSON_UNCONSCIOUS_DISPLACEMENT,1,1,1.0
ERICKSON_AMBIGUITY_EXPLANATION,ERICKSON_TENSE_SHIFT,1,1,1.0
ERICKSON_AMBIGUITY_METAPHOR,ERICKSON_METAPHOR,1,1,1.0
ERICKSON_AMBIGUITY_PUN,ERICKSON_CONFUSION_REFRAMING,1,1,1.0
ERICKSON_AMBIGUITY_RESOLUTION,ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION,1,1,1.0
ERICKSON_AMBIGUITY_SUGGESTION,ERICKSON_IDEOMOTOR_DOUBLE_BIND,1,1,1.0
ERICKSON_AMBIGUITY_TRAINING,ERICKSON_UTILIZATION_CONFUSION,1,1,1.0
ERICKSON_AMBIGUITY_TRUISM,ERICKSON_SENSORY_UTILIZATION_AGE_REGRESSION,1,1,1.0
ERICKSON_AMBIGUITY_UTILIZATION,ERICKSON_IDEOMOTOR_OBSERVATION,1,3,0.3333333333333333
ERICKSON_AMBIGUITY_UTILIZATION,ERICKSON_REFRAMING_UTILIZATION,1,3,0.3333333333333333
ERICKSON_AMBIGUITY_UTILIZATION,ERICKSON_TRUISM_PACING,1,3,0.3333333333333333
ERICKSON_AMBIGUOUS_INTERROGATIVE,ERICKSON_PRECISION_PROBE,1,2,0.5
ERICKSON_AMBIGUOUS_INTERROGATIVE,ERICKSON_UTILIZATION_RESISTANCE,1,2,0.5
ERICKSON_AMBIGUOUS_METAPHOR,ERICKSON_SYMBOLIC_REFRAMING,1,1,1.0
ERICKSON_AMBIGUOUS_NEGATION,ERICKSON_MINIMAL_CUE,1,1,1.0
ERICKSON_AMBIGUOUS_QUESTION,ERICKSON_TRUISM_PACING,1,1,1.0
ERICKSON_AMBIGUOUS_TOUCH,ERICKSON_FOCUS_DIRECTIVE,1,1,1.0
ERICKSON_AMNESIA_CONFIRMATION,ERICKSON_INDIRECT_SUGGESTION,1,1,1.0
ERICKSON_AMNESIA_CONFUSION,ERICKSON_PARADOXICAL_INTERVENTION,1,1,1.0
ERICKSON_AMNESIA_DISASSOCIATION,ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION,1,1,1.0
ERICKSON_AMNESIA_DISPLACEMENT,ERICKSON_REFRAMING_METADATA,1,1,1.0
ERICKSON_AMNESIA_DISSOCIATION,ERICKSON_TRUISM_RESISTANCE,1,1,1.0
ERICKSON_AMNESIA_IMPLICATION,ERICKSON_INDIRECT_INDUCTION_QUESTIONS,1,1,1.0
ERICKSON_AMNESIA_INTEGRATION,ERICKSON_TIME_DISTORTION,1,1,1.0
ERICKSON_AMNESIA_INTERPOLATION,ERICKSON_INTERPOLATED_TRANCE_AMNESIA,1,1,1.0
ERICKSON_AMNESIA_LINKING,ERICKSON_POST_HYPNOTIC_AMNESIA_AND_PERMISSIVE_SUGGESTION,1,2,0.5
ERICKSON_AMNESIA_LINKING,ERICKSON_TRUISM_AMNESIA,1,2,0.5
ERICKSON_AMNESIA_METAPHOR_TIME_DISTORTION,ERICKSON_VAGUE_TRANSITION,1,1,1.0
ERICKSON_AMNESIA_PARENTHESIS,ERICKSON_TAG_QUESTION_TRUISM,1,1,1.0
ERICKSON_AMNESIA_PRESUPPOSITION,ERICKSON_INDIRECT_CHALLENGE,1,1,1.0
ERICKSON_AMNESIA_RATIFICATION,ERICKSON_AMNESIA_VALIDATION,1,1,1.0
ERICKSON_AMNESIA_RECALL,ERICKSON_UTILIZATION_TRUISM,1,1,1.0
ERICKSON_AMNESIA_REFRAMING,ERICKSON_TEMPORAL_DISSOCIATION,1,1,1.0
ERICKSON_AMNESIA_REINFORCEMENT,ERICKSON_INTERROGATIVE_REORIENTATION,1,3,0.3333333333333333
ERICKSON_AMNESIA_REINFORCEMENT,ERICKSON_UTILIZATION_AMNESIA,1,3,0.3333333333333333
ERICKSON_AMNESIA_REINFORCEMENT,ERICKSON_UTILIZATION_REPETITION,1,3,0.3333333333333333
ERICKSON_AMNESIA_REORIENTATION,ERICKSON_DISTRACTION_THROUGH_MEMORY,1,1,1.0
ERICKSON_AMNESIA_SUGGESTION,ERICKSON_ANALOGY_IDEOMOTOR,1,5,0.2
ERICKSON_AMNESIA_SUGGESTION,ERICKSON_REFRAMING_EMPOWERMENT,1,5,0.2
ERICKSON_AMNESIA_SUGGESTION,ERICKSON_TEMPORAL_ANCHOR,1,5,0.2
ERICKSON_AMNESIA_SUGGESTION,ERICKSON_UTILIZATION,1,5,0.2
ERICKSON_AMNESIA_SUGGESTION,ERICKSON_UTILIZATION_AND_TRUST,1,5,0.2
ERICKSON_AMNESIA_TEST,ERICKSON_AMNESIA_TEST,1,4,0.25
ERICKSON_AMNESIA_TEST,ERICKSON_DIRECT_SUGGESTION_WITH_HIDDEN_TEST,1,4,0.25
ERICKSON_AMNESIA_TEST,ERICKSON_TIME_DISTORTION_REFRAMING,1,4,0.25
ERICKSON_AMNESIA_TEST,ERICKSON_TIME_DISTORTION_TEST,1,4,0.25
ERICKSON_AMNESIA_TEST_PRESUPPOSITION,ERICKSON_AMNESIA_UTILIZATION,1,1,1.0
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_AMNESIA_UTILIZATION,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_ANECDOTAL_ILLUSTRATION,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_ANECDOTAL_TEACHING,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_DISGUISED_AUTHORITY,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_GENERALIZATION_TAG_QUESTION,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_MINIMAL_INTERVENTION,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_REINTEGRATION_INQUIRY,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_UNCONSCIOUS_UTILIZATION,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_UTILIZATION_INQUIRY,1,11,0.09090909090909091
ERICKSON_AMNESIA_UTILIZATION,ERICKSON_VAGUE_TRUISM,1,11,0.09090909090909091
ERICKSON_AMNESIA_VALIDATION,ERICKSON_TRUISM,1,1,1.0
ERICKSON_AMNESIA_WEATHER_TRUISM,ERICKSON_INDIRECT_PROBING,1,1,1.0
ERICKSON_AMPLIFICATION_CONFRONTATION,ERICKSON_RESISTANCE_ANALYSIS,1,1,1.0
ERICKSON_ANALOGICAL_TRUISM,ERICKSON_EXTERNALIZATION_UTILIZATION,1,1,1.0
ERICKSON_ANALOGY_ACTION,ERICKSON_UTILIZATION_PARADOX,1,1,1.0
ERICKSON_ANALOGY_AND_ORIENTATION,ERICKSON_INDIRECT_LEARNING,1,1,1.0
ERICKSON_ANALOGY_AND_PARALLELISM,ERICKSON_REDEFINITION,1,1,1.0
ERICKSON_ANALOGY_AND_TRUISM,ERICKSON_UTILIZATION_EXPECTATION,1,1,1.0
ERICKSON_ANALOGY_BRIDGE,ERICKSON_DENOMINALIZATION,1,1,1.0
ERICKSON_ANALOGY_CONTRAST,ERICKSON_LOGICAL_GENERALIZATION,1,1,1.0
ERICKSON_ANALOGY_DISSOCIATION,ERICKSON_SYSTEMIC_INTERVENTION,1,2,0.5
ERICKSON_ANALOGY_DISSOCIATION,ERICKSON_UTILIZATION_TRUISM,1,2,0.5
ERICKSON_ANALOGY_DISTRACTION,ERICKSON_PARADOXICAL_REFRAME,1,1,1.0
ERICKSON_ANALOGY_DYNAMICS,ERICKSON_PACING_AND_VALIDATION,1,1,1.0
ERICKSON_ANALOGY_FRAME,ERICKSON_PARADOXICAL_VALIDATION,1,1,1.0
ERICKSON_ANALOGY_IDEOMOTOR,ERICKSON_IDEOMOTOR_DISSOCIATION,1,1,1.0
ERICKSON_ANALOGY_INDIRECT_SUGGESTION,ERICKSON_BYPASSING_CONSCIOUS_RESISTANCE,1,1,1.0
ERICKSON_ANALOGY_INTERCONNECTION,ERICKSON_INTERDEPENDENCY_LINKING,1,1,1.0
ERICKSON_ANALOGY_LOGIC,ERICKSON_DIRECTIVE_OBLIGATION,1,2,0.5
ERICKSON_ANALOGY_LOGIC,ERICKSON_INDIRECT_CONFRONTATION,1,2,0.5
ERICKSON_ANALOGY_MECHANISM,ERICKSON_IDEOMOTOR_DISSOCIATION,1,1,1.0
ERICKSON_ANALOGY_NORMALIZATION,ERICKSON_POST_HYPNOTIC_AWAKENING,1,2,0.5
ERICKSON_ANALOGY_NORMALIZATION,ERICKSON_UTILIZATION_INTERNAL_ACTION,1,2,0.5
ERICKSON_ANALOGY_NUDGE,ERICKSON_SHOCK_AND_DOUBLE_BIND,1,1,1.0
ERICKSON_ANALOGY_RAPPORT,ERICKSON_ANECDOTE_UTILIZATION,1,1,1.0
ERICKSON_ANALOGY_REDUCTIO,ERICKSON_UTILIZATION_STRATEGY,1,1,1.0
ERICKSON_ANALOGY_REDUCTIONISM,ERICKSON_RECASTING_DREAM,1,1,1.0
ERICKSON_ANALOGY_REDUCTIONISM_REJECTION,ERICKSON_STRATEGIC_OPENNESS,1,1,1.0
ERICKSON_ANALOGY_REFRAMING,ERICKSON_INDIRECT_SUGGESTION,1,2,0.5
ERICKSON_ANALOGY_REFRAMING,ERICKSON_POST_HYPNOTIC_SUGGESTION,1,2,0.5
ERICKSON_ANALOGY_RHETORICAL,ERICKSON_ANALOGY_RHETORICAL,1,3,0.3333333333333333
ERICKSON_ANALOGY_RHETORICAL,ERICKSON_CONFUSION_TECHNIQUE,1,3,0.3333333333333333
ERICKSON_ANALOGY_RHETORICAL,ERICKSON_TRUISM_UTILIZATION,1,3,0.3333333333333333
ERICKSON_ANALOGY_SENSORY_HABITUATION,ERICKSON_ILLUSION_OF_CHOICE,1,1,1.0
ERICKSON_ANALOGY_TRANSITION,ERICKSON_DIRECTIVE_ENGAGEMENT,1,1,1.0
ERICKSON_ANALOGY_TRUISM,ERICKSON_ANALOGY_REDUCTIO,1,8,0.125
ERICKSON_ANALOGY_TRUISM,ERICKSON_METAPHOR_REFRAMING,1,8,0.125
ERICKSON_ANALOGY_TRUISM,ERICKSON_PACING_AND_VALIDATION,1,8,0.125
ERICKSON_ANALOGY_TRUISM,ERICKSON_PRESUPPOSITION,1,8,0.125
ERICKSON_ANALOGY_TRUISM,ERICKSON_REFRAMING_AND_DISSOCIATION,1,8,0.125
ERICKSON_ANALOGY_TRUISM,ERICKSON_TRUISM_CONTRAST,1,8,0.125
ERICKSON_ANALOGY_TRUISM,ERICKSON_TRUISM_UTILIZATION,2,8,0.25
ERICKSON_ANALOGY_UNCONSCIOUS_INCUBATION,ERICKSON_IDEOMOTOR_UTILIZATION,1,1,1.0
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_DIRECTIVE_CONFUSION,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_DOUBLE_BIND,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_HAND_LEVITATION,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_INQUIRY_UTILIZATION,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_MEMORY_RETRIEVAL,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_PACING_AND_LEADING,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_PACING_AND_VALIDATION,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_PRESUPPOSITION_AMNESIA,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_REFRAMING_ANALOGY,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_TRUISM_PHYSIOLOGICAL,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_TRUISM_UNCERTAINTY,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_UTILIZATION_LIMITATION,1,13,0.07692307692307693
ERICKSON_ANALOGY_UTILIZATION,ERICKSON_UTILIZATION_OF_UNKNOWN,1,13,0.07692307692307693
ERICKSON_ANALOG_MARKING,ERICKSON_INDIRECT_VALIDATION,1,3,0.3333333333333333
ERICKSON_ANALOG_MARKING,ERICKSON_MIND_READING_PACING,1,3,0.3333333333333333
ERICKSON_ANALOG_MARKING,ERICKSON_UTILIZATION_TRUISM,1,3,0.3333333333333333
ERICKSON_ANATOMICAL_GENERALIZATION,ERICKSON_UTILIZATION_METAPHOR,1,1,1.0
ERICKSON_ANCHOR_UTILIZATION,ERICKSON_INDUCTION_RECALL,1,1,1.0
ERICKSON_ANCILLARY_LEARNING,ERICKSON_DISMISSAL_OF_INTELLECTUALIZATION,1,1,1.0
ERICKSON_ANECDOTAL_ASSESSMENT,ERICKSON_CLINICAL_OBSERVATION,1,1,1.0
ERICKSON_ANECDOTAL_BRIDGE,ERICKSON_DIRECT_INSTRUCTION_WITH_ALTERNATIVE,1,1,1.0
ERICKSON_ANECDOTAL_CONFUSION_AND_SEARCH,ERICKSON_YES_SET_FUTURE_PACE,1,1,1.0
ERICKSON_ANECDOTAL_DISTRACTION,ERICKSON_FUTURE_PACING_PRESUPPOSITION,1,1,1.0
ERICKSON_ANECDOTAL_FRAMING,ERICKSON_OBSERVATIONAL_DIAGNOSIS,1,1,1.0
ERICKSON_ANECDOTAL_ILLUSTRATION,ERICKSON_AMNESIA_UTILIZATION,1,1,1.0
ERICKSON_ANECDOTAL_INDUCTION,ERICKSON_DIRECT_CHALLENGE,1,3,0.3333333333333333
ERICKSON_ANECDOTAL_INDUCTION,ERICKSON_REFRAMING_UTILIZATION,1,3,0.3333333333333333
ERICKSON_ANECDOTAL_INDUCTION,ERICKSON_UTILIZATION_AND_DISSOCIATION,1,3,0.3333333333333333
ERICKSON_ANECDOTAL_INTERVENTION,ERICKSON_ANALOGY_INDIRECT_SUGGESTION,1,1,1.0
ERICKSON_ANECDOTAL_METAPHOR,ERICKSON_ANALOGY_TRANSITION,1,1,1.0
ERICKSON_ANECDOTAL_REFRAMING,ERICKSON_UTILIZATION_REFRAMING,1,1,1.0
ERICKSON_ANECDOTAL_SEEDING,ERICKSON_TRUISM_QUANTIFIER,1,1,1.0
ERICKSON_ANECDOTAL_TEACHING,ERICKSON_CASE_NARRATIVE,1,2,0.5
ERICKSON_ANECDOTAL_TEACHING,ERICKSON_PRESUPPOSITION_UTILIZATION,1,2,0.5
ERICKSON_ANECDOTAL_TRUISM,ERICKSON_ANECDOTAL_REFRAMING,1,4,0.25
ERICKSON_ANECDOTAL_TRUISM,ERICKSON_ANECDOTE_BOUNDARIES,1,4,0.25
ERICKSON_ANECDOTAL_TRUISM,ERICKSON_CONFUSION_UTILIZATION,1,4,0.25
ERICKSON_ANECDOTAL_TRUISM,ERICKSON_YES_SET_CONFIRMATION,1,4,0.25
ERICKSON_ANECDOTE_AMNESIA,ERICKSON_DISSOCIATION_UTILIZATION,1,1,1.0
ERICKSON_ANECDOTE_AND_UNCONSCIOUS_MODELING,ERICKSON_IDEOMOTOR_UTILIZATION,1,1,1.0
ERICKSON_ANECDOTE_ASSOCIATION,ERICKSON_REFRAMING_AND_TRUISM,1,1,1.0
ERICKSON_ANECDOTE_BOUNDARIES,ERICKSON_UTILIZATION_VALUES,1,1,1.0
ERICKSON_ANECDOTE_BRIDGE,ERICKSON_TRANSITION_GAZE,1,1,1.0
ERICKSON_ANECDOTE_DIRECTIVE,ERICKSON_RESOURCE_UTILIZATION,1,1,1.0
ERICKSON_ANECDOTE_DISSOCIATION,ERICKSON_REFRAMING_METAPHOR,1,1,1.0
ERICKSON_ANECDOTE_DISTRACTION,ERICKSON_ANECDOTAL_DISTRACTION,1,1,1.0
ERICKSON_ANECDOTE_FRAMING,ERICKSON_PACING_AND_COMPLIANCE,1,1,1.0
ERICKSON_ANECDOTE_GROWTH,ERICKSON_REFRAMING_OBSERVATION,1,1,1.0
ERICKSON_ANECDOTE_HUMOR,ERICKSON_META_COMMENTARY,1,1,1.0
ERICKSON_ANECDOTE_INDIRECT_LEARNING,ERICKSON_CONFUSION_TECHNIQUE,1,1,1.0
ERICKSON_ANECDOTE_INDIRECT_RESPONSE,ERICKSON_REFRAMING_SCAPEGOAT,1,1,1.0
ERICKSON_ANECDOTE_INDIRECT_SUGGESTION,ERICKSON_PROTECTIVE_CAUTION,1,1,1.0
ERICKSON_ANECDOTE_METAPHOR,ERICKSON_AMBIGUITY_METAPHOR,1,7,0.14285714285714285
ERICKSON_ANECDOTE_METAPHOR,ERICKSON_ANECDOTAL_TRUISM,1,7,0.14285714285714285
ERICKSON_ANECDOTE_METAPHOR,ERICKSON_ANECDOTE_METAPHOR,1,7,0.14285714285714285
ERICKSON_ANECDOTE_METAPHOR,ERICKSON_MODAL_POSSIBILITY,1,7,0.14285714285714285
ERICKSON_ANECDOTE_METAPHOR,ERICKSON_OBSERVATION_PARADOX,1,7,0.14285714285714285
ERICKSON_ANECDOTE_METAPHOR,ERICKSON_PARADOX_UTILIZATION,1,7,0.14285714285714285
ERICKSON_ANECDOTE_METAPHOR,ERICKSON_PATTERN_RECOGNITION,1,7,0.14285714285714285
ERICKSON_ANECDOTE_MORAL,ERICKSON_REFRAMING_AND_PACING,1,1,1.0
ERICKSON_ANECDOTE_PREDICTION,ERICKSON_TRUISM_PRESUPPOSITION,1,1,1.0
ERICKSON_ANECDOTE_REFRAME,ERICKSON_STRATEGIC_INTERVENTION,1,1,1.0
ERICKSON_ANECDOTE_REFRAMING,ERICKSON_ANECDOTE_REFR_IRON,1,8,0.125
ERICKSON_ANECDOTE_REFRAMING,ERICKSON_PACING_AND_AUTHORITY,1,8,0.125
ERICKSON_ANECDOTE_REFRAMING,ERICKSON_POSITIVE_REFRAMING,1,8,0.125
ERICKSON_ANECDOTE_REFRAMING,ERICKSON_SENSORY_PACING_AND_AMNESIA,1,8,0.125
ERICKSON_ANECDOTE_REFRAMING,ERICKSON_TRUISM_AMNESIA,1,8,0.125
ERICKSON_ANECDOTE_REFRAMING,ERICKSON_UNCONSCIOUS_FRAME,1,8,0.125
ERICKSON_ANECDOTE_REFRAMING,ERICKSON_UTILIZATION_EXPERIENCE,1,8,0.125
ERICKSON_ANECDOTE_REFRAMING,ERICKSON_UTILIZATION_OF_DIVERSITY,1,8,0.125
ERICKSON_ANECDOTE_REFR_IRON,ERICKSON_REFRAMING_UTILIZATION,1,1,1.0
ERICKSON_ANECDOTE_RESILIENCE,ERICKSON_PRESUPPOSITION_PROCESS,1,1,1.0
ERICKSON_ANECDOTE_SELECTIVE_PERCEPTION,ERICKSON_REFRAMING_VALIDATION,1,1,1.0
ERICKSON_ANECDOTE_SETTING,ERICKSON_PACING_FAILURE,1,1,1.0
ERICKSON_ANECDOTE_STATEBOUND,ERICKSON_ANECDOTAL_INDUCTION,1,1,1.0
ERICKSON_ANECDOTE_SUGGESTION,ERICKSON_PHYSIOLOGICAL_LINK,1,1,1.0
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_ANECDOTAL_TRUISM,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_ANECDOTE_INDIRECT_LEARNING,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_ANECDOTE_REFRAMING,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_ANECDOTE_SUGGESTION,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_INDIRECT_SUGGESTION_THROUGH_ROLE,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_METAPHOR_PERSPECTIVE,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_OBSERVATIONAL_REDEFINITION,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_OPEN_ENDED_SUGGESTION,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_PARADOX_UTILIZATION,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_PRESUPPOSITION_OPEN_QUESTION,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_REFRAMING_AND_UTILIZATION,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_REFRAMING_NORMALIZATION,1,16,0.0625
ERICKSON_ANECDOTE_UTILIZATION,ERICKSON_STORYTELLING_ANCHOR,1,16,0.0625
