script_id,turn_no,content,pattern_id,pattern_label
A Teaching Seminar with Milton H Erickson,55,How much more easily did you learn English than German?,ERICKSON_PRESUPPOSITION,Other
A Teaching Seminar with Milton H Erickson,56,Why?,ERICKSON_TDS_PROMPT,Other
A Teaching Seminar with Milton H Erickson,57,You had to learn an entirely new set of vocal movements. You had to coordinate those with your ears. Can you say “The bird flies high?”,ERICKSON_TRUISM_YES_SET,Pacing
A Teaching Seminar with Milton H Erickson,58,Now say it in German.,ERICKSON_DIRECT_SUGGESTION,Suggestion
A Teaching Seminar with Milton H Erickson,59,Can you say it in Plattdeutsch?,ERICKSON_UTILIZATION_LINGUISTIC,Utilization
A Teaching Seminar with Milton H Erickson,60,Why not?,ERICKSON_INTERROGATIVE_CHALLENGE,Other
A Teaching Seminar with Milton H Erickson,62,"It’s nice to be Preiss, but higher to be Bayer.",ERICKSON_PUN_AMBIGUITY,Other
A Teaching Seminar with Milton H Erickson,63,"I can’t speak German. My accent may be wrong. It’s good to be Prussian, but it’s better to be Bavarian.",ERICKSON_UTILIZATION_METAPHOR,Utilization
A Teaching Seminar with Milton H Erickson,65,"All right. In psychotherapy you teach a patient to use a great many of the things that they learned, and learned a long time ago, and don’t remember learning. The next thing I want to say is that we all have billions of brain cells. Billions and billions of brain cells. And brain cells are highly specialized. You learn German with one set of brain cells, and you use another set of brain cells to learn English and another set of brain cells to learn Spanish.",ERICKSON_TRUISM_RESOURCE_REVELATION,Truism
A Teaching Seminar with Milton H Erickson,66,"Now, another thing I want to call your attention to is the matter of hypnosis. Hypnosis is the ceasing to use your conscious awareness; in hypnosis you begin to use your unconscious awareness. Because unconsciously you know as much and a lot more than you do consciously.",ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION,Other
A Teaching Seminar with Milton H Erickson,67,I am going to ask you to change seats with...,ERICKSON_PATTERN_INTERRUPT,Confusion
A Teaching Seminar with Milton H Erickson,68,What is your first name?,ERICKSON_PACING_COMPLIANCE,Pacing
A Teaching Seminar with Milton H Erickson,69,Kristie?,ERICKSON_UTILIZATION_ATTENTION,Utilization
A Teaching Seminar with Milton H Erickson,70,Has Joe Barber put you in a trance?,ERICKSON_DIRECT_INQUIRY,Other
A Teaching Seminar with Milton H Erickson,71,Many times?,ERICKSON_INTERROGATIVE_TRUISM,Truism
A Teaching Seminar with Milton H Erickson,72,All right. Lean back in your chair and look at that horse.,ERICKSON_DIRECT_SUGGESTION_PACING,Pacing
A Teaching Seminar with Milton H Erickson,73,Do you see it?,ERICKSON_SENSORY_FOCUS,Other
A Teaching Seminar with Milton H Erickson,74,"Just look in that general direction. I want all of you to listen to me and note what I am saying. Now, Christine, just look at that horse. You don’t need to move. You don’t need to talk. I am going to remind you of something that you learned a long time ago. When you first went to school and the teacher asked you to learn to write the letters of the alphabet that seemed to be a terribly difficult job. All those letters. All those different shapes and forms. And what made it worse, there were printed letters and small letters. And while I’ve been talking to you, your respiration has changed. Your heart rate has changed. Your blood pressure has changed. Your muscle tonus has changed. Your motor reflexes have changed. And now, I would like to have you keep your eyes closed, and I would like to have you feel very comfortable. And the more comfortable you feel, the deeper into trance you’ll go. I would like to have you go so deeply into a trance that it will seem to you that you don’t even have a body. You’ll feel yourself to be just a mind without a body. A mind floating in space. Floating in time. And memories of long ago will come back to you. Memories that you had long ago forgotten. And my voice will go with you everywhere, and my voice can become the voice of your parents, your teachers. It can become a German voice. It can be the voice of your playmates, your schoolmates, your teacher.",ERICKSON_INDUCTION_REGRESSION,Other
A Teaching Seminar with Milton H Erickson,75,"And next, I want you to learn something else very important. I want your body to keep sleeping deeply, soundly, in a very deep trance, and after a while I want just your head to awaken. Just your head. For your body, sleep. From above the neck you will be wide awake. Now it will be difficult for you to do so, but you can awaken from the neck up. It will be hard, it will be difficult, but you can do it. And let your body sleep soundly. You can make more effort than that; even though you don’t want to awaken, you are going to awaken from the neck up.",ERICKSON_DISSOCIATION_CHALLENGE,Other
A Teaching Seminar with Milton H Erickson,76,How do you feel?,ERICKSON_STATE_ASSESSMENT,Other
A Teaching Seminar with Milton H Erickson,77,"And, what memories would you like to share with us?",ERICKSON_PERMISSIVE_INQUIRY,Other
A Teaching Seminar with Milton H Erickson,78,Yes... How about school?,ERICKSON_YES_SET_TRANSITION,Pacing
A Teaching Seminar with Milton H Erickson,79,You don’t believe you had a memory of your schooldays?,ERICKSON_PRESUPPOSITION_CHALLENGE,Other
A Teaching Seminar with Milton H Erickson,80,You are sure of that?,ERICKSON_INTERROGATIVE_DOUBT,Other
A Teaching Seminar with Milton H Erickson,81,You feel that you are awake.,ERICKSON_TRUISM_PACING,Pacing
A Teaching Seminar with Milton H Erickson,82,One of the important things you learn when you are first born,ERICKSON_TRUISM_LEARNING,Truism
A Teaching Seminar with Milton H Erickson,83,How come your hand is lifted?,ERICKSON_INDIRECT_INQUIRY,Other
A Teaching Seminar with Milton H Erickson,84,"Is that the important thing, or is the important thing that your hand levitated and you don’t know why?",ERICKSON_DOUBLE_BIND,Double Bind
A Teaching Seminar with Milton H Erickson,85,What’s that?,ERICKSON_DIRECTING_ATTENTION,Other
A Teaching Seminar with Milton H Erickson,86,"Well, what caused it to levitate?",ERICKSON_DISSOCIATIVE_INQUIRY,Other
A Teaching Seminar with Milton H Erickson,87,"There is a lot of your behavior you don’t know about. You always use your right-hand direction and levitate up to your face. And you know that you are not doing it and it will stick to your face and you can’t move it away from your face. Now, the harder you try to take it away, the more it will stick to your face. So try hard to put it away. Because you can’t",ERICKSON_DOUBLE_BIND_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,88,And you are very responsive. I made a hand movement and you started to copy it.,ERICKSON_UTILIZATION_TRUISM,Utilization
A Teaching Seminar with Milton H Erickson,89,"I made a hand movement. You started to copy it. Now, the only way that you can get that hand down to your lap is to have the other hand lift up and shove it down.",ERICKSON_DOUBLE_BIND_PARADOX,Double Bind
A Teaching Seminar with Milton H Erickson,90,I know. You are letting your intellect interfere with your learning.,ERICKSON_DISSOCIATION_STRATEGY,Other
A Teaching Seminar with Milton H Erickson,91,"Now I’ll call the attention of everybody. Did you ever see anybody sit that still, that quietly? And she didn’t turn her head to look at me first. She turned her eyes to look at me first. Ordinarily, when you want to look at somebody, you turn your face. And you turned your eyes. You separated your eyes from your head and your neck.",ERICKSON_DISSOCIATION_RATIFICATION,Other
A Teaching Seminar with Milton H Erickson,92,What’s that?,ERICKSON_DIRECTING_ATTENTION,Other
A Teaching Seminar with Milton H Erickson,93,"I’m very glad to hear that. When you really want your right hand to go down, your left hand will lift up and push it down. And you think you’re awake, don’t you?",ERICKSON_UTILIZATION_AND_CHALLENGE,Utilization
A Teaching Seminar with Milton H Erickson,94,"You really do, don’t you. And you really don’t know that you are asleep. How long do you think you will be able to keep your eyes open?",ERICKSON_DOUBLE_BIND_PRESUPPOSITION,Double Bind
A Teaching Seminar with Milton H Erickson,95,Will they close now? And stay closed? Now you want to rationalize that?,ERICKSON_DISSOCIATIVE_INTERROGATIVE,Other
A Teaching Seminar with Milton H Erickson,96,"Are you aware of the fact, you can’t stand up?",ERICKSON_TRUISM_AWARENESS,Truism
A Teaching Seminar with Milton H Erickson,97,Are you beginning to have doubts that you could stand up?,ERICKSON_PRESUPPOSITION_DOUBT,Other
A Teaching Seminar with Milton H Erickson,98,Aren’t you behaving like a sacral block?,ERICKSON_NEGATIVE_INTERROGATIVE_METAPHOR,Other
A Teaching Seminar with Milton H Erickson,99,Sacral block. A sacral anesthesia...,ERICKSON_TERMINOLOGY_ANCHORING,Other
A Teaching Seminar with Milton H Erickson,100,Aren’t you behaving that way?,ERICKSON_INTERROGATIVE_CHALLENGE,Other
A Teaching Seminar with Milton H Erickson,101,She didn’t watch her wiggle and watch all the others wiggle. Now all of you understand what I mean when I say “watch the others wiggle.” You’re staying awfully still for somebody who is awake. Now let your arm get more and more tired until you want to... use your left hand to push it down....,ERICKSON_INDIRECT_SUGGESTION,Suggestion
A Teaching Seminar with Milton H Erickson,102,"You feel more awake in your arms, don’t you?",ERICKSON_TAG_QUESTION_AWARENESS,Other
A Teaching Seminar with Milton H Erickson,103,Can you move them? Your fingers aren’t your hands.,ERICKSON_DISSOCIATION_REFRAMING,Reframing
A Teaching Seminar with Milton H Erickson,104,"Can you rationalize that effort? The doctor here is an anesthesiologist and she is interested in hypnosis. Now to produce a sacral block in a pregnant woman, I would many times put her in a trance like this and never mention anything else. And I tell her, “ When you go into the delivery room, think about the sex of the baby, its weight, its appearance and features, whether or not it will have hair. After a while, the obstetrician, who is in full charge of the lower half of your body, will tell you to look and see what your baby is. He will hold it up. You have a complete sacral block — a total anesthesia”",ERICKSON_INDIRECT_SUGGESTION_DISSOCIATION,Suggestion
A Teaching Seminar with Milton H Erickson,105,I notice that all of you are constantly changing your posture.,ERICKSON_PACING_TRUISM,Pacing
A Teaching Seminar with Milton H Erickson,106,"I had a patient once, who came to me for therapy. She had been coming for several months. And one day she said, “I’m going to go into a trance, Dr. Erickson.” And when she was in a trance she said, “I feel so comfortable, I’ll stay here all day.” And I said, “Unfortunately, there are other patients coming in. You can’t stay here all day.” She said, “I don’t care about the other patients.” I said that I make my living seeing patients. She said, “That’s all right, I’ll pay you for every hour. I’m going to stay here all day.” How would I get rid of her? I told her to enjoy her sleep and “I do hope you don’t have to go to the bathroom.”",ERICKSON_PHYSIOLOGICAL_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,107,Your shoulders are waking up.,ERICKSON_IDEOMOTOR_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,108,I think it will save you some embarrassment.,ERICKSON_PRESUPPOSITION_PROTECTION,Other
A Teaching Seminar with Milton H Erickson,109,"Well, I do hope you don’t have to go to the bathroom too suddenly.... You are getting better acquainted with yourself now.",ERICKSON_INDIRECT_SUGGESTION_TRUISM,Truism
A Teaching Seminar with Milton H Erickson,110,You don’t have to go to the bathroom.,ERICKSON_PERMISSIVE_SUGGESTION,Suggestion
A Teaching Seminar with Milton H Erickson,111,Who among you have never been in a trance?,ERICKSON_PRESUPPOSITION_CHALLENGE,Other
A Teaching Seminar with Milton H Erickson,112,"You haven’t. And you haven’t. Well, doctor, a pretty girl is easier to look at in a trance than a man. Isn’t that your experience?",ERICKSON_YES_SET_TRUISM,Pacing
A Teaching Seminar with Milton H Erickson,113,A pretty girl is easier to look at.,ERICKSON_TRUISM,Truism
A Teaching Seminar with Milton H Erickson,114,"So, will you change seats with... And did all of you notice, I didn’t ask anything of Christine.",ERICKSON_ATTENTION_SHIFT,Other
A Teaching Seminar with Milton H Erickson,115,"Your name is Kristie, isn’t it?",ERICKSON_YES_SET_TAG_QUESTION,Pacing
A Teaching Seminar with Milton H Erickson,116,Christine. Did I ask you to sit over there?,ERICKSON_PATTERN_INTERRUPT,Confusion
A Teaching Seminar with Milton H Erickson,117,"No, I asked her.",ERICKSON_DIRECT_CLARIFICATION,Other
A Teaching Seminar with Milton H Erickson,118,"Well, you have already done it. I didn’t ask you to wake up. I let your conscious mind take over. I only asked her if she would sit here. You did all the rest.",ERICKSON_UTILIZATION_AUTONOMY,Utilization
A Teaching Seminar with Milton H Erickson,119,You’ve never been in a trance?,ERICKSON_PRESUPPOSITIONAL_INQUIRY,Other
A Teaching Seminar with Milton H Erickson,120,Your name?,ERICKSON_DIRECT_FOCUS,Other
A Teaching Seminar with Milton H Erickson,121,Carol. Is it your common experience to let a strange man lift your hand and leave it in midair?,ERICKSON_CATALEPSY_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,122,Do you think you are in a trance?,ERICKSON_INDIRECT_INDUCTION,Other
A Teaching Seminar with Milton H Erickson,123,You really don’t?,ERICKSON_INTERROGATIVE_CHALLENGE,Other
A Teaching Seminar with Milton H Erickson,124,You’re sure?,ERICKSON_CHALLENGE_CERTAINTY,Other
A Teaching Seminar with Milton H Erickson,125,You’re not sure. Do you think your eyes will soon close?,ERICKSON_INDIRECT_SUGGESTION,Suggestion
A Teaching Seminar with Milton H Erickson,126,You don’t know.,ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION,Other
A Teaching Seminar with Milton H Erickson,127,Are you really sure your eyes won’t close and stay closed?,ERICKSON_NEGATIVE_SUGGESTION_CHALLENGE,Suggestion
A Teaching Seminar with Milton H Erickson,128,Do you suppose that soon they’ll blink shut and stay shut?,ERICKSON_INTERROGATIVE_SUGGESTION,Suggestion
A Teaching Seminar with Milton H Erickson,129,"You’re not really sure at all are you, Carol?",ERICKSON_UNCERTAINTY_INDUCTION,Other
A Teaching Seminar with Milton H Erickson,130,But you’re beginning to get sure your eyes will close. Pretty soon now... and stayed closed.,ERICKSON_EXPECTANCY_TRUISM,Truism
A Teaching Seminar with Milton H Erickson,131,"In psychotherapy, you ought to know that your patient knows more about his past learnings than you can ever know. You don’t know how you go to sleep. You don’t know how you let loose your awareness, your conscious awareness. And so when a patient comes to me, I have all the doubts. I doubt in the right direction. The patient doubts in the wrong direction. More and more comfortable. And go so deeply a sleep, that it will seem to you as if you had no body at all. It will seem to you as if you were just a mind, an intellect, floating in space, in time.",ERICKSON_UTILIZATION_AND_DISSOCIATION,Utilization
A Teaching Seminar with Milton H Erickson,132,"Maybe you are a little girl playing at home, or maybe you are a little girl in school. I would like to have many memories you have forgotten a long time ago come forth. I want you to have the feelings of a little girl. All the feelings. And whatever feelings you had sometime later, you might choose to tell us some of them.",ERICKSON_AGE_REGRESSION,Other
A Teaching Seminar with Milton H Erickson,133,"You might be playing a game on the school grounds. You might be eating your lunch, or you might be interested in your teacher’s dress, and what you see on the blackboard, or the pictures in a picture book... things you have forgotten a long time ago.",ERICKSON_AGE_REGRESSION_REVIVIFICATION,Other
A Teaching Seminar with Milton H Erickson,134,And the year is not 1979 — it’s a long way off. It’s not even 1977 — It’s not even 1970. And I don’t know if the year is 1959 or 1960. I don’t know whether you are looking at a Christmas tree or a church or playing with a dog or a cat.,ERICKSON_AGE_REGRESSION_DISORIENTATION,Other
A Teaching Seminar with Milton H Erickson,135,"After a while you will awaken and tell us about the little girl named Carol. And really be that nice little girl, Carol, in the year of 1959 or 1960. Maybe you’ll wonder what you will be when you’re a big girl. I would like you to have the experience of letting your body sleep deeply while you awaken only from the neck up. Hi. What would you like to say to me?",ERICKSON_DISSOCIATIVE_AWAKENING,Other
A Teaching Seminar with Milton H Erickson,136,I Do?,ERICKSON_INTERROGATIVE_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,138,In a little park?,ERICKSON_INTERROGATIVE_GROUNDING,Other
A Teaching Seminar with Milton H Erickson,139,What are you going to do when you are a big girl?,ERICKSON_AGE_PROGRESSION,Other
A Teaching Seminar with Milton H Erickson,140,It is a very long time away. What do you like to do now?,ERICKSON_PACING_AND_LEADING,Pacing
A Teaching Seminar with Milton H Erickson,141,What kind of games?,ERICKSON_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,142,Ball?,ERICKSON_MINIMAL_CUE,Other
A Teaching Seminar with Milton H Erickson,143,Hopscotch.,ERICKSON_AGE_REGRESSION_ANCHOR,Other
A Teaching Seminar with Milton H Erickson,144,Hopscotch. Where do you live? Near this park?,ERICKSON_PATTERN_INTERRUPT,Confusion
A Teaching Seminar with Milton H Erickson,145,Where?,ERICKSON_MINIMAL_CUE,Other
A Teaching Seminar with Milton H Erickson,146,Where do you live far away?,ERICKSON_PRESUPPOSITION_DISSOCIATION,Other
A Teaching Seminar with Milton H Erickson,147,Where is that?,ERICKSON_PACING_INQUIRY,Pacing
A Teaching Seminar with Milton H Erickson,148,Pennsylvania. (In a lilting voice.) How old are you?,ERICKSON_AGE_REGRESSION_TRANCE_DEEPENING,Other
A Teaching Seminar with Milton H Erickson,149,You’re five years old.,ERICKSON_PACING_TRUISM,Pacing
A Teaching Seminar with Milton H Erickson,150,Three or four. And what do you like best about this park?,ERICKSON_AGE_REGRESSION_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,151,Do you wish they were here now?,ERICKSON_INTERIOR_SEARCH,Other
A Teaching Seminar with Milton H Erickson,152,And are there lots of trees?,ERICKSON_YES_SET_PACING,Pacing
A Teaching Seminar with Milton H Erickson,153,Any people around?,ERICKSON_ENVIRONMENTAL_CHECK,Other
A Teaching Seminar with Milton H Erickson,154,Now.,ERICKSON_GROUNDING_COMMAND,Suggestion
A Teaching Seminar with Milton H Erickson,155,Who are these people?,ERICKSON_DIRECT_INQUIRY_FOR_REGRESSION,Other
A Teaching Seminar with Milton H Erickson,156,You are only three or four or five years old. Where did you learn to say such a big word as “professional”?,ERICKSON_AGE_REGRESSION,Other
A Teaching Seminar with Milton H Erickson,157,How do you feel right now that you can’t stand up?,ERICKSON_PRESUPPOSITION_UTILIZATION,Utilization
A Teaching Seminar with Milton H Erickson,158,Now you are aware.,ERICKSON_TRUISM_AWARENESS,Truism
A Teaching Seminar with Milton H Erickson,159,It is.,ERICKSON_TRUISM_PACING,Pacing
A Teaching Seminar with Milton H Erickson,160,Would you like to have me tell you a secret?,ERICKSON_INTERROGATIVE_ENGAGEMENT,Other
A Teaching Seminar with Milton H Erickson,161,"Now, all the people around here have forgotten to hear the traffic sounds. (Erickson smiles.) And I never once told them to be deaf. And all of a sudden they begin to hear the traffic noise. And how many of you are in a trance? (A number of people have their eyes closed.) If some of you look around you will see a lot of immobility.",ERICKSON_UTILIZATION_TRUISM,Utilization
A Teaching Seminar with Milton H Erickson,163,"Someday, three or four months from now, I’m going to call a meeting of all of you. Every one of you better have your book read and be ready to give a total review of the book.",ERICKSON_FUTURE_PACING_DIRECTIVE,Pacing
A Teaching Seminar with Milton H Erickson,164,Remember... I assigned some books to each of you to review. The time has now come for the review.,ERICKSON_TEMPORAL_ANCHORING,Other
A Teaching Seminar with Milton H Erickson,165,I do not accept excuses. You were assigned the book to read and were told in three or four months to be ready with your report. And you tell me you haven’t even read it. Do you know the title and the author?,ERICKSON_DIRECT_CONFRONTATION_ACCOUNTABILITY,Other
A Teaching Seminar with Milton H Erickson,166,"Get out some paper and take your pen and each of you summarize what you think the author should have put in the third chapter; summarize what you think he should have put in the seventh chapter, and in the ninth chapter.",ERICKSON_CREATIVE_PROJECTION,Other
A Teaching Seminar with Milton H Erickson,167,"Well, you know the name and the title of the book. That is all there is to it. Sit down and summarize those three chapters each one of you.",ERICKSON_TRUISM_COMMAND,Truism
A Teaching Seminar with Milton H Erickson,168,"And shortly, Carol, I would like to have you awaken all over. Gently, comfortably.",ERICKSON_TRANCE_TERMINATION,Other
A Teaching Seminar with Milton H Erickson,170,"Now all of you have seen Count Dracula. You see, this way he doesn’t need a coffin, and nobody suspects who he is.",ERICKSON_METAPHOR,Other
A Teaching Seminar with Milton H Erickson,171,Would you like to have me tell your fortune?,ERICKSON_INTERROGATIVE_SUGGESTION,Suggestion
A Teaching Seminar with Milton H Erickson,172,"See this line — do you see the letters “R, e, a, d, i, n, g”? It’s the name of a park.",ERICKSON_VISUAL_HALLUCINATION_SUGGESTION,Suggestion
A Teaching Seminar with Milton H Erickson,174,"In Pennsylvania. Over here you see your Grandfather? Do you really enjoy going to that small park in Reading, Pennsylvania? How am I at palm reading?",ERICKSON_SPECIFICITY_PUN,Other
A Teaching Seminar with Milton H Erickson,175,How am I at palm reading?,ERICKSON_UTILIZATION_QUESTION,Utilization
A Teaching Seminar with Milton H Erickson,176,Now why did I talk about Count Dracula? Why did I speak about Count Dracula? Count Dracula has an appeal for childhood.,ERICKSON_UTILIZATION_METAPHOR,Utilization
A Teaching Seminar with Milton H Erickson,177,Appeal — an interest for childhood.,ERICKSON_REFRAMING_REDEFINITION,Reframing
A Teaching Seminar with Milton H Erickson,178,"No, an interest.",ERICKSON_REFRAMING,Reframing
A Teaching Seminar with Milton H Erickson,179,"So I am saying something that children think about. And palm reading is another useful thing. And the fact that Count Dracula is a long, long way from Reading Park allowed for amnesia and directed her attention away from this chair to Reading Park, to her childhood, to the past, and I didn’t tell her to have an amnesia.",ERICKSON_INDIRECT_SUGGESTION,Suggestion
A Teaching Seminar with Milton H Erickson,180,What am I talking about?,ERICKSON_INTERRUPTION_CONFUSION,Confusion
A Teaching Seminar with Milton H Erickson,181,"So, she hasn’t been able to follow it very well. (Laughs.) And all of you were taught by your teachers and your parents, “Look at me when I speak to you, and you look at me when you talk to me.” And she came here and listened to me and I’ve evoked a pattern of behavior that belonged to long ago.",ERICKSON_UTILIZATION_AGE_REGRESSION,Utilization
