Category,Pattern ID,Importance,Typical Leads To,Typical Preceded By
AGE,ERICKSON_AGE_REGRESSION_TRUISM,0.0004219941950323536,ERICKSON_DISSOCIATION_CONTRAST (0.33); ERICKSON_INDIRECT_SUGGESTION_EMPOWERMENT (0.33); ERICKSON_UTILIZATION_CHALLENGE (0.33),ERICKSON_VISUAL_UTILIZATION_TIME_DISTORTION (1.00); ERICKSON_REFRAMING_AND_PACING (0.25)
AGE,ERICKSON_AGE_REGRESSION_UTILIZATION,0.000283176155824333,ERICKSON_INTERIOR_SEARCH (0.50); ERICKSON_THEORETICAL_REFUTATION (0.50),ERICKSON_AUTHORITY_DISARMING (1.00); ERICKSON_PACING_TRUISM (0.04)
AGREEMENT,ERICKSON_AGREEMENT_FRAME,0.0001428013078295155,ERICKSON_UTILIZATION_REFRAMING (1.00),ERICKSON_PACING_AND_VALIDATION (0.01)
ALLIANCE,ERICKSON_ALLIANCE_AND_REDIRECTION,0.0001421473104916662,ERICKSON_ALLIANCE_PRESUPPOSITION (1.00),ERICKSON_IDEOMOTOR_DISSOCIATION (0.06)
ALLIANCE,ERICKSON_ALLIANCE_PRESUPPOSITION,0.00014223380516455373,ERICKSON_INDIRECT_SUGGESTION (1.00),ERICKSON_ALLIANCE_AND_REDIRECTION (1.00)
AMBIGUITY,ERICKSON_AMBIGUITY_AND_PERMISSIVENESS,0.0001432832173939224,ERICKSON_PROCESS_SUGGESTION (1.00),ERICKSON_INDIRECT_SUGGESTION_PERHAPS (0.50)
AMBIGUITY,ERICKSON_AMBIGUITY_AND_RAPPORT,0.00013810446010416094,ERICKSON_AWARENESS_TEST (1.00),ERICKSON_TRUISM_UTILIZATION (0.03)
AMBIGUITY,ERICKSON_AMBIGUITY_CHALLENGE,0.00014439038959512314,ERICKSON_DIRECT_INSTRUCTION (1.00),ERICKSON_DIRECT_COMMAND_SEQUENCE (1.00)
AMBIGUITY,ERICKSON_AMBIGUITY_CONTROL,0.00014229954732391473,ERICKSON_PACING_AND_VALIDATION (1.00),ERICKSON_INTERROGATIVE_PACING (0.50)
AMBIGUITY,ERICKSON_AMBIGUITY_DISSOCIATION,0.00014363414518390053,ERICKSON_UNCONSCIOUS_DISPLACEMENT (1.00),ERICKSON_META_COMMENTARY (0.33)
AMBIGUITY,ERICKSON_AMBIGUITY_EXPLANATION,0.00014215669942829019,ERICKSON_TENSE_SHIFT (1.00),ERICKSON_SYMBOLIC_INTERPRETATION (0.33)
AMBIGUITY,ERICKSON_AMBIGUITY_METAPHOR,0.00014316305424795769,ERICKSON_METAPHOR (1.00),ERICKSON_ANECDOTE_METAPHOR (0.14)
AMBIGUITY,ERICKSON_AMBIGUITY_PUN,0.00014204748047511249,ERICKSON_CONFUSION_REFRAMING (1.00),ERICKSON_TDS_PROMPT (0.10)
AMBIGUITY,ERICKSON_AMBIGUITY_RESOLUTION,0.00014246014170839433,ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION (1.00),ERICKSON_PACING_AND_LEADING (0.04)
AMBIGUITY,ERICKSON_AMBIGUITY_SUGGESTION,0.00014186909232971395,ERICKSON_IDEOMOTOR_DOUBLE_BIND (1.00),ERICKSON_DISSOCIATION (0.08)
AMBIGUITY,ERICKSON_AMBIGUITY_TRAINING,0.0001433497178371945,ERICKSON_UTILIZATION_CONFUSION (1.00),ERICKSON_PRESUPPOSITION_UTILIZATION (0.06)
AMBIGUITY,ERICKSON_AMBIGUITY_TRUISM,0.00013810446010416094,ERICKSON_SENSORY_UTILIZATION_AGE_REGRESSION (1.00),ERICKSON_TRUISM_UTILIZATION (0.03)
AMBIGUITY,ERICKSON_AMBIGUITY_UTILIZATION,0.0004253664151153806,ERICKSON_IDEOMOTOR_OBSERVATION (0.33); ERICKSON_REFRAMING_UTILIZATION (0.33); ERICKSON_TRUISM_PACING (0.33),ERICKSON_PRESERVATION_OF_MYSTERY (1.00); ERICKSON_TRUISM_REINFORCEMENT (0.11)
AMBIGUOUS,ERICKSON_AMBIGUOUS_INTERROGATIVE,0.0002802885873137075,ERICKSON_PRECISION_PROBE (0.50); ERICKSON_UTILIZATION_RESISTANCE (0.50),ERICKSON_DENOMINALIZATION (1.00); ERICKSON_INTERROGATIVE_CONFUSION (1.00)
AMBIGUOUS,ERICKSON_AMBIGUOUS_METAPHOR,0.00014242529293650763,ERICKSON_SYMBOLIC_REFRAMING (1.00),ERICKSON_DIRECT_SUGGESTION (0.05)
AMBIGUOUS,ERICKSON_AMBIGUOUS_NEGATION,0.00014205321322781613,ERICKSON_MINIMAL_CUE (1.00),ERICKSON_IDEOMOTOR_VALIDATION (1.00)
AMBIGUOUS,ERICKSON_AMBIGUOUS_QUESTION,0.00014244350921022438,ERICKSON_TRUISM_PACING (1.00),ERICKSON_REFRAMING_TRUISM (0.08)
AMBIGUOUS,ERICKSON_AMBIGUOUS_TOUCH,0.0001428240681005908,ERICKSON_FOCUS_DIRECTIVE (1.00),ERICKSON_DIRECT_COMMAND_DEEPENING (1.00)
AMNESIA,ERICKSON_AMNESIA_CONFIRMATION,0.000143184574742484,ERICKSON_INDIRECT_SUGGESTION (1.00),ERICKSON_PRESUPPOSITION_AMNESIA (0.25)
AMNESIA,ERICKSON_AMNESIA_CONFUSION,0.00014351035342557858,ERICKSON_PARADOXICAL_INTERVENTION (1.00),ERICKSON_PERMISSIVE_VALIDATION (0.50)
AMNESIA,ERICKSON_AMNESIA_DISASSOCIATION,0.00014249299872147946,ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION (1.00),ERICKSON_UTILIZATION_MODELING (1.00)
AMNESIA,ERICKSON_AMNESIA_DISPLACEMENT,0.00014229674164358526,ERICKSON_REFRAMING_METADATA (1.00),ERICKSON_UTILIZATION_TRUISM (0.02)
AMNESIA,ERICKSON_AMNESIA_DISSOCIATION,0.00013986217662187285,ERICKSON_TRUISM_RESISTANCE (1.00),ERICKSON_INTEGRATION_PRINCIPLE (1.00)
AMNESIA,ERICKSON_AMNESIA_IMPLICATION,0.0001426445398090772,ERICKSON_INDIRECT_INDUCTION_QUESTIONS (1.00),ERICKSON_STATE_TRANSITION (1.00)
AMNESIA,ERICKSON_AMNESIA_INTEGRATION,0.0001427354858669721,ERICKSON_TIME_DISTORTION (1.00),ERICKSON_AGE_REGRESSION_INQUIRY (0.50)
AMNESIA,ERICKSON_AMNESIA_INTERPOLATION,0.00014193771966747933,ERICKSON_INTERPOLATED_TRANCE_AMNESIA (1.00),ERICKSON_INTERPOLATION_TRANCE (1.00)
AMNESIA,ERICKSON_AMNESIA_LINKING,0.00028410891215755385,ERICKSON_POST_HYPNOTIC_AMNESIA_AND_PERMISSIVE_SUGGESTION (0.50); ERICKSON_TRUISM_AMNESIA (0.50),ERICKSON_IDEOMOTOR_YES_SET (1.00); ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION (0.02)
AMNESIA,ERICKSON_AMNESIA_METAPHOR_TIME_DISTORTION,0.00014340468854302988,ERICKSON_VAGUE_TRANSITION (1.00),ERICKSON_DISSOCIATIVE_REGRESSION (0.50)
AMNESIA,ERICKSON_AMNESIA_PARENTHESIS,0.0001430950887481064,ERICKSON_TAG_QUESTION_TRUISM (1.00),ERICKSON_TIME_DISTORTION (0.06)
AMNESIA,ERICKSON_AMNESIA_PRESUPPOSITION,0.0001421473104916662,ERICKSON_INDIRECT_CHALLENGE (1.00),ERICKSON_IDEOMOTOR_DISSOCIATION (0.06)
AMNESIA,ERICKSON_AMNESIA_RATIFICATION,0.00014216572651327232,ERICKSON_AMNESIA_VALIDATION (1.00),ERICKSON_TRUISM_TAG (0.20)
AMNESIA,ERICKSON_AMNESIA_RECALL,0.00014261703753209944,ERICKSON_UTILIZATION_TRUISM (1.00),ERICKSON_DIRECT_VALIDATION (0.12)
AMNESIA,ERICKSON_AMNESIA_REFRAMING,0.00014269151427794238,ERICKSON_TEMPORAL_DISSOCIATION (1.00),ERICKSON_UTILIZATION_MODIFICATION (1.00)
AMNESIA,ERICKSON_AMNESIA_REINFORCEMENT,0.00042776265255312415,ERICKSON_INTERROGATIVE_REORIENTATION (0.33); ERICKSON_UTILIZATION_AMNESIA (0.33); ERICKSON_UTILIZATION_REPETITION (0.33),ERICKSON_PRESUPPOSITION_REGRESSION (1.00); ERICKSON_REVERSE_SUGGESTION (1.00)
AMNESIA,ERICKSON_AMNESIA_REORIENTATION,0.0001429862303994004,ERICKSON_DISTRACTION_THROUGH_MEMORY (1.00),ERICKSON_STRUCTURED_AMNESIA (1.00)
AMNESIA,ERICKSON_AMNESIA_SUGGESTION,0.0007107744616138429,ERICKSON_ANALOGY_IDEOMOTOR (0.20); ERICKSON_REFRAMING_EMPOWERMENT (0.20); ERICKSON_TEMPORAL_ANCHOR (0.20),ERICKSON_DISSOCIATIVE_MODELING (1.00); ERICKSON_REFRAMING_RESPONSIBILITY (1.00)
AMNESIA,ERICKSON_AMNESIA_TEST,0.000572576464039438,ERICKSON_AMNESIA_TEST (0.25); ERICKSON_DIRECT_SUGGESTION_WITH_HIDDEN_TEST (0.25); ERICKSON_TIME_DISTORTION_REFRAMING (0.25),ERICKSON_DIRECTIVE_PACING (1.00); ERICKSON_DISTRACTION_CONFUSION (1.00)
AMNESIA,ERICKSON_AMNESIA_TEST_PRESUPPOSITION,0.0001425763415877365,ERICKSON_AMNESIA_UTILIZATION (1.00),ERICKSON_PARADOXICAL_MOTIVATION_UTILIZATION (1.00)
AMNESIA,ERICKSON_AMNESIA_UTILIZATION,0.0017379152071602675,ERICKSON_AMNESIA_UTILIZATION (0.09); ERICKSON_ANECDOTAL_ILLUSTRATION (0.09); ERICKSON_ANECDOTAL_TEACHING (0.09),ERICKSON_AMNESIA_TEST_PRESUPPOSITION (1.00); ERICKSON_ANECDOTAL_ILLUSTRATION (1.00)
AMNESIA,ERICKSON_AMNESIA_VALIDATION,0.00014225223239419278,ERICKSON_TRUISM (1.00),ERICKSON_AMNESIA_RATIFICATION (1.00)
AMNESIA,ERICKSON_AMNESIA_WEATHER_TRUISM,0.00014289927816752467,ERICKSON_INDIRECT_PROBING (1.00),ERICKSON_SUGGESTION_REINFORCEMENT (1.00)
AMPLIFICATION,ERICKSON_AMPLIFICATION_CONFRONTATION,0.00013990231972041138,ERICKSON_RESISTANCE_ANALYSIS (1.00),ERICKSON_STRATEGIC_CONFRONTATION (0.50)
ANALOGICAL,ERICKSON_ANALOGICAL_TRUISM,0.00014320621245370076,ERICKSON_EXTERNALIZATION_UTILIZATION (1.00),ERICKSON_DISSOCIATION_TRUISM (0.10)
ANALOGY,ERICKSON_ANALOGY_ACTION,0.0001422343395706249,ERICKSON_UTILIZATION_PARADOX (1.00),ERICKSON_STRATEGIC_OBSERVATION (1.00)
ANALOGY,ERICKSON_ANALOGY_AND_ORIENTATION,0.0001410571751422749,ERICKSON_INDIRECT_LEARNING (1.00),ERICKSON_TEMPORAL_REFRAMING (0.50)
ANALOGY,ERICKSON_ANALOGY_AND_PARALLELISM,0.00014253018412107015,ERICKSON_REDEFINITION (1.00),ERICKSON_INDIRECT_SUGGESTION_RESISTANCE_BYPASS (1.00)
ANALOGY,ERICKSON_ANALOGY_AND_TRUISM,0.00014297514594857575,ERICKSON_UTILIZATION_EXPECTATION (1.00),ERICKSON_FRACTIONATION_PACING (1.00)
ANALOGY,ERICKSON_ANALOGY_BRIDGE,0.00014066451095365098,ERICKSON_DENOMINALIZATION (1.00),ERICKSON_OBSERVATIONAL_TRUISM (0.09)
ANALOGY,ERICKSON_ANALOGY_CONTRAST,0.0001407152635696932,ERICKSON_LOGICAL_GENERALIZATION (1.00),ERICKSON_UTILIZATION_OF_IGNORANCE (0.20)
ANALOGY,ERICKSON_ANALOGY_DISSOCIATION,0.0002844780112804398,ERICKSON_SYSTEMIC_INTERVENTION (0.50); ERICKSON_UTILIZATION_TRUISM (0.50),ERICKSON_COGNITIVE_REFRAMING (1.00); ERICKSON_SENSORY_ACUITY (0.50)
ANALOGY,ERICKSON_ANALOGY_DISTRACTION,0.0001417648414383914,ERICKSON_PARADOXICAL_REFRAME (1.00),ERICKSON_REFRAMING (0.03)
ANALOGY,ERICKSON_ANALOGY_DYNAMICS,0.0001428013078295155,ERICKSON_PACING_AND_VALIDATION (1.00),ERICKSON_PACING_AND_VALIDATION (0.01)
ANALOGY,ERICKSON_ANALOGY_FRAME,0.0001424414314479074,ERICKSON_PARADOXICAL_VALIDATION (1.00),ERICKSON_UTILIZATION_REFRAME (0.03)
ANALOGY,ERICKSON_ANALOGY_IDEOMOTOR,0.00014224139160850524,ERICKSON_IDEOMOTOR_DISSOCIATION (1.00),ERICKSON_AMNESIA_SUGGESTION (0.20)
ANALOGY,ERICKSON_ANALOGY_INDIRECT_SUGGESTION,0.00014024903549901918,ERICKSON_BYPASSING_CONSCIOUS_RESISTANCE (1.00),ERICKSON_ANECDOTAL_INTERVENTION (1.00)
ANALOGY,ERICKSON_ANALOGY_INTERCONNECTION,0.00014229674164358526,ERICKSON_INTERDEPENDENCY_LINKING (1.00),ERICKSON_UTILIZATION_TRUISM (0.02)
ANALOGY,ERICKSON_ANALOGY_LOGIC,0.00028058644509334937,ERICKSON_DIRECTIVE_OBLIGATION (0.50); ERICKSON_INDIRECT_CONFRONTATION (0.50),ERICKSON_META_STRATEGY (1.00); ERICKSON_TRUISM_AND_LOGICAL_NECESSITY (1.00)
ANALOGY,ERICKSON_ANALOGY_MECHANISM,0.00014272242849723424,ERICKSON_IDEOMOTOR_DISSOCIATION (1.00),ERICKSON_UNCONSCIOUS_FACILITATION (0.50)
ANALOGY,ERICKSON_ANALOGY_NORMALIZATION,0.00028354709713168674,ERICKSON_POST_HYPNOTIC_AWAKENING (0.50); ERICKSON_UTILIZATION_INTERNAL_ACTION (0.50),ERICKSON_POST_HYPNOTIC_UTILIZATION (0.50); ERICKSON_UTILIZATION_PARADOX (0.04)
ANALOGY,ERICKSON_ANALOGY_NUDGE,0.00014224506006935096,ERICKSON_SHOCK_AND_DOUBLE_BIND (1.00),ERICKSON_ILLUSION_OF_CHOICE (0.04)
ANALOGY,ERICKSON_ANALOGY_RAPPORT,0.0001421105064975191,ERICKSON_ANECDOTE_UTILIZATION (1.00),ERICKSON_INTERPOLATED_TRANCE_AMNESIA (1.00)
ANALOGY,ERICKSON_ANALOGY_REDUCTIO,0.00014305479516347246,ERICKSON_UTILIZATION_STRATEGY (1.00),ERICKSON_ANALOGY_TRUISM (0.12)
ANALOGY,ERICKSON_ANALOGY_REDUCTIONISM,0.00014241543886338328,ERICKSON_RECASTING_DREAM (1.00),ERICKSON_INDIRECT_UTILIZATION (0.50)
ANALOGY,ERICKSON_ANALOGY_REDUCTIONISM_REJECTION,0.00014184669837280362,ERICKSON_STRATEGIC_OPENNESS (1.00),ERICKSON_CLINICAL_PRECISION (1.00)
ANALOGY,ERICKSON_ANALOGY_REFRAMING,0.0002867868229404143,ERICKSON_INDIRECT_SUGGESTION (0.50); ERICKSON_POST_HYPNOTIC_SUGGESTION (0.50),ERICKSON_CONFUSION_BY_PANTOMIME (1.00); ERICKSON_UTILIZATION_MOMENTUM (1.00)
ANALOGY,ERICKSON_ANALOGY_RHETORICAL,0.00042605170688306287,ERICKSON_ANALOGY_RHETORICAL (0.33); ERICKSON_CONFUSION_TECHNIQUE (0.33); ERICKSON_TRUISM_UTILIZATION (0.33),ERICKSON_DOUBLE_BIND_GRADUALISM (1.00); ERICKSON_ANALOGY_RHETORICAL (0.33)
ANALOGY,ERICKSON_ANALOGY_SENSORY_HABITUATION,0.00014193771966747933,ERICKSON_ILLUSION_OF_CHOICE (1.00),ERICKSON_UTILIZATION_RHYTHM (1.00)
ANALOGY,ERICKSON_ANALOGY_TRANSITION,0.0001427465855039239,ERICKSON_DIRECTIVE_ENGAGEMENT (1.00),ERICKSON_ANECDOTAL_METAPHOR (1.00)
ANALOGY,ERICKSON_ANALOGY_TRUISM,0.00114374240987073,ERICKSON_TRUISM_UTILIZATION (0.25); ERICKSON_METAPHOR_REFRAMING (0.12); ERICKSON_ANALOGY_REDUCTIO (0.12),ERICKSON_INDUCTION_DEEPENING (1.00); ERICKSON_REFRAMING_TEMPORAL_SHIFT (1.00)
ANALOGY,ERICKSON_ANALOGY_UNCONSCIOUS_INCUBATION,0.00014165300371991,ERICKSON_IDEOMOTOR_UTILIZATION (1.00),ERICKSON_DISSOCIATION_AND_UTILIZATION (0.33)
ANALOGY,ERICKSON_ANALOGY_UTILIZATION,0.001858712205891973,ERICKSON_DIRECTIVE_CONFUSION (0.08); ERICKSON_DOUBLE_BIND (0.08); ERICKSON_HAND_LEVITATION (0.08),ERICKSON_APPOSITION_OF_OPPOSITES (1.00); ERICKSON_DIFFERENTIATION_IGNORANCE (1.00)
ANALOG,ERICKSON_ANALOG_MARKING,0.0004283065802069474,ERICKSON_INDIRECT_VALIDATION (0.33); ERICKSON_MIND_READING_PACING (0.33); ERICKSON_UTILIZATION_TRUISM (0.33),ERICKSON_INTERSPERSAL_MECHANICS (1.00); ERICKSON_UTILIZATION_AMNESIA (0.20)
ANATOMICAL,ERICKSON_ANATOMICAL_GENERALIZATION,0.0001453481427450544,ERICKSON_UTILIZATION_METAPHOR (1.00),ERICKSON_PERMISSIVE_SUGGESTION (0.02)
ANCHOR,ERICKSON_ANCHOR_UTILIZATION,0.00014261223837758877,ERICKSON_INDUCTION_RECALL (1.00),ERICKSON_DIRECTIVE_INDUCTION (1.00)
ANCILLARY,ERICKSON_ANCILLARY_LEARNING,0.00014248421804887023,ERICKSON_DISMISSAL_OF_INTELLECTUALIZATION (1.00),ERICKSON_UTILIZATION_BYPASS (0.33)
ANECDOTAL,ERICKSON_ANECDOTAL_ASSESSMENT,0.00014273940640909425,ERICKSON_CLINICAL_OBSERVATION (1.00),ERICKSON_REFRAMING_AND_METAPHOR (0.50)
ANECDOTAL,ERICKSON_ANECDOTAL_BRIDGE,0.00014256881165302792,ERICKSON_DIRECT_INSTRUCTION_WITH_ALTERNATIVE (1.00),ERICKSON_META_FRAME_SHIFT (1.00)
ANECDOTAL,ERICKSON_ANECDOTAL_CONFUSION_AND_SEARCH,0.0001421562400008669,ERICKSON_YES_SET_FUTURE_PACE (1.00),ERICKSON_UTILIZATION_AND_TRANSFER (0.50)
ANECDOTAL,ERICKSON_ANECDOTAL_DISTRACTION,0.0001430389141421788,ERICKSON_FUTURE_PACING_PRESUPPOSITION (1.00),ERICKSON_ANECDOTE_DISTRACTION (1.00)
ANECDOTAL,ERICKSON_ANECDOTAL_FRAMING,0.0001420584598201309,ERICKSON_OBSERVATIONAL_DIAGNOSIS (1.00),ERICKSON_MINIMAL_CUE (0.04)
ANECDOTAL,ERICKSON_ANECDOTAL_ILLUSTRATION,0.00015808842768896258,ERICKSON_AMNESIA_UTILIZATION (1.00),ERICKSON_AMNESIA_UTILIZATION (0.09)
ANECDOTAL,ERICKSON_ANECDOTAL_INDUCTION,0.0004279863618969733,ERICKSON_DIRECT_CHALLENGE (0.33); ERICKSON_REFRAMING_UTILIZATION (0.33); ERICKSON_UTILIZATION_AND_DISSOCIATION (0.33),ERICKSON_ANECDOTE_STATEBOUND (1.00); ERICKSON_REFRAMING_MINIMIZATION (0.25)
ANECDOTAL,ERICKSON_ANECDOTAL_INTERVENTION,0.00014016374779637672,ERICKSON_ANALOGY_INDIRECT_SUGGESTION (1.00),ERICKSON_REFRAMING_UTILIZATION (0.01)
ANECDOTAL,ERICKSON_ANECDOTAL_METAPHOR,0.00014265977900503827,ERICKSON_ANALOGY_TRANSITION (1.00),ERICKSON_METAPHOR_TRANSFORMATION (0.50)
ANECDOTAL,ERICKSON_ANECDOTAL_REFRAMING,0.0001423220248858371,ERICKSON_UTILIZATION_REFRAMING (1.00),ERICKSON_ANECDOTAL_TRUISM (0.25)
ANECDOTAL,ERICKSON_ANECDOTAL_SEEDING,0.000141296937803004,ERICKSON_TRUISM_QUANTIFIER (1.00),ERICKSON_INTERROGATIVE_PROBE (0.17)
